"Screen index","Type of item","Question","Answer options","Answer"
"0","QuestionnaireItemDefinedOne","I have read the information on the Value of Personal Data study and I am willing to participate in the study. <hr> ","Yes","Yes"
"1","QuestionnaireItemText","<br>First letter of your mother's first name:","undefined","M"
"1","QuestionnaireItemText","First letter of your father's first name:","undefined","P"
"1","QuestionnaireItemText","First letter of your place of birth:","undefined","D"
"1","QuestionnaireItemText","Last digit of your year of birth:","undefined","1"
"1","QuestionnaireItemText","Last digit of your birthday:","undefined","3"
"2","QuestionnaireItemDefinedOne","My hunger feeling is currently strong.<hr>","Not at all<br> hungry,Not hungry,Neither hungry <br> nor full,Hungry,Very <br> hungry","Neither hungry <br> nor full"
"2","QuestionnaireItemDefinedOne","I would like to have a snack right now.<hr>","Strongly<br> disagree,Disagree,Neither<br> agree<br> or<br> disagree,Agree,Strongly<br> agree","Disagree"
"2","QuestionnaireItemText","<br><br>How long has it been since you ate something (in hours)?","undefined","3"
"3","QuestionnaireItemDefinedOne","Consumer online privacy is really a matter of consumers’ right to exercise control and autonomy over decisions about how their information is collected, used, and shared.<hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly Agree","Strongly Agree"
"3","QuestionnaireItemDefinedOne","Consumer control of personal information lies at the heart of consumer privacy.<hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree","Strongly<br> Agree"
"3","QuestionnaireItemDefinedOne","I believe that online privacy is invaded when control is lost or unwillingly reduced as a result of a marketing transaction.<hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree","Agree"
"4","QuestionnaireItemDefinedOne","Companies seeking information online should disclose the way the data is collected, processed, and used.<hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree","Agree"
"4","QuestionnaireItemDefinedOne","A good consumer online privacy policy should have a clear and conspicuous disclosure.<hr>","Strongly<br> Disagree,Disagree,Somewhat<br> Disagree,Neither<br> Agree<br> or<br> Disagree,Somewhat<br> Agree,Agree,Strongly<br> Agree","Somewhat<br> Agree"
